Country Name;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Slovak Republic;14,7;14,7;12,7;14;14;17,3;19,3;16,7;16,7;20;19,3;19,3;18;15,3;16;18,7;18,7;18,7;18,7;20;20;20;20;
Slovenia;7,8;7,8;7,8;;12,2;12,2;12,2;12,2;12,2;12,2;12,2;13,3;14,4;14,4;32,2;32,2;32,2;35,6;36,7;36,7;36,7;24,4;27,78;
Sweden;40,4;40,4;42,7;42,7;42,7;45;45,3;45,3;45,3;47,3;47;47;46,4;45;44,7;44,7;44,7;44,7;43,6;43,6;43,6;46,1;47,28;
Eswatini;3,1;3,1;3,1;3,1;3,1;3,1;10,8;10,8;10,8;10,8;10,8;13,8;13,6;13,6;13,6;13,6;6,2;6,2;6,2;6,2;6,2;7,2;7,25;
Seychelles;27,3;23,5;23,5;23,5;23,5;29,4;29,4;29,4;29,4;29,4;23,5;23,5;23,5;23,5;43,8;43,8;43,8;43,8;43,8;21,2;21,2;21,2;21,21;
Syrian Arab Republic;9,6;9,6;10,4;10,4;10,4;10,4;12;12;12;12;12;12,4;12,4;12,4;12,4;12;12;12;12,4;13,2;13,2;13,2;13,2;
Chad;2,4;2,4;2,4;2,4;2,4;;5,8;6,5;6,5;6,5;5,2;5,2;5,2;5,2;12,8;14,9;14,9;14,9;14,9;14,9;12,8;15,3;14,88;
Togo;1,2;1,2;;4,9;4,9;4,9;7,4;6,2;7,4;8,6;11,1;11,1;11,1;11,1;11,1;11,1;15,4;17,6;17,6;17,6;17,6;17,6;16,48;
Thailand;5,6;5,6;5,6;4,8;9,2;9,2;9,2;8,8;10,6;8,7;11,7;11,7;13,3;13,3;15,8;15,8;15,8;6,1;6,1;6,1;4,8;5,3;16,2;
Tajikistan;2,8;2,8;2,8;15;12,7;12,7;12,7;12,7;17,5;17,5;17,5;17,5;17,5;19;19;19;19;16,9;19;19;19;19;19,05;
Turkmenistan;18;18;;26;26;26;26;;16;16;16;;16,8;16,8;16,8;16,8;16,8;26,4;25,8;25,8;25,8;24,8;25;
Timor-Leste;;;;;;;26,1;25,3;25,3;25,3;29,2;29,2;29,2;29,2;32,3;38,5;38,5;38,5;38,5;38,5;32,3;33,8;38,46;
Tonga;0;0;;0;0;;0;0;3,4;3,3;3,3;3,1;3,1;0;3,6;3,6;3,6;0;0;0;3,8;7,4;7,41;
Trinidad and Tobago;11,1;11,1;11,1;;11,1;19,4;19,4;19,4;19,4;19,4;26,8;26,8;26,8;28,6;28,6;28,6;28,6;28,6;31;31;31;31;30,95;
Tunisia;6,7;7,4;11,5;11,5;11,5;11,5;11,5;22,8;22,8;22,8;22,8;22,8;27,6;27,6;26,7;26,7;26,7;31,3;31,3;31,3;31,3;31,3;35,94;
Turkey;2,4;2,4;4,2;4,2;4,2;;4,4;4,4;4,4;4,4;9,1;9,1;9,1;9,1;14,2;14,2;14,4;14,4;14,9;14,9;14,6;17,4;17,45;
Tuvalu;8,3;;0;0;0;;0;0;0;0;0;0;0;0;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,25;
Tanzania;17,5;17,5;16,4;;22,3;22,3;21,4;21,4;30,4;30,4;30,4;30,4;30,7;;36;36;36;36;36;36,6;36,4;37,2;36,9;
Uganda;18,1;18,1;17,9;17,8;24,7;24,7;24,7;23,9;23,9;29,8;30,7;30,7;31,5;31,3;35;35;35;35;35;33,5;34,3;34,3;34,86;
Ukraine;3,8;;7,8;7,8;7,8;;5,3;5,3;5,3;8,7;8,2;8,2;8;8;8;9,4;9,4;11,7;12,1;12;12,3;12,3;20,52;
Uruguay;7,1;7,1;12,1;12,1;12,1;12,1;12,1;12,1;11,1;11,1;12,1;12,1;14,1;15,2;12,1;12,1;12,1;16,2;16,2;16,2;20,2;20,2;22,22;
United States;11,7;11,7;13,3;;14;13,8;14,3;14,9;15,2;16,3;16,8;17;16,8;16,8;16,8;18;17,9;19,3;19,4;19,4;19,4;19,6;23,5;
Uzbekistan;6;6;;7,2;7,2;7,2;7,2;17,5;17,5;17,5;17,5;17,5;22;22;22;22;22;22;16;16;16;16;16;
St. Vincent and the Grenadines;9,5;;4,8;4,8;;22,7;22,7;22,7;18,2;18,2;18,2;18,2;21,7;14,3;17,4;17,4;13;13;13;13;13;13;13,04;
Venezuela, RB;5,9;5,9;12,1;;9,7;9,7;9,7;9,7;17,4;18;18,6;18,6;17,5;17;17;17;17;17;17;14,4;22,2;22,2;22,16;
Vietnam;26,2;26,2;26;26;26;27,3;27,3;27,3;27,3;27,3;25,8;25,8;25,8;25,8;24,4;24,4;24,4;24,3;24,3;26,7;26,7;26,7;26,72;
Vanuatu;;;0;0;0;1,9;1,9;3,8;3,8;3,8;3,8;3,8;3,8;3,8;1,9;0;0;0;0;0;0;0;0;
Samoa;4,1;4,1;8,2;8,2;6,1;6,1;6,1;6,1;6,1;6,1;8,2;8,2;8,2;8,2;4,1;4,1;4,1;6,1;6,1;10;10;10;10;
Yemen, Rep.;;0,7;0,7;0,7;0,7;0,7;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;0;0,33;
South Africa;25;28,8;30;29,8;29,8;29,8;29,8;32,8;32,8;32,8;33;33;44,5;44,5;42,3;42,3;42,3;41,5;42;41,8;42;42,3;45,71;
Zambia;9,7;10,3;10,1;10,1;10,1;12;12;12;12,7;14,6;15,2;15,2;14;14;11,5;11,5;11,5;10,8;12,7;18;18;18;17,96;
Zimbabwe;14,7;14,7;14;9,3;10;10;10;10;16;16,7;16;15,2;15;15;15;15;31,5;31,5;31,5;31,5;32,6;31,5;31,85;
